Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MPG,PPG,RPG,APG,WS,WS/48,BPM,VORP,Draft
76,GSW,Lewis Lloyd,Drake University,7.0,388.0,9406.0,5130.0,1192.0,1138.0,0.524,0.213,0.7709999999999999,24.2,13.2,3.1,2.9,19.8,0.10099999999999999,0.7,6.6,1981
77,LAC,Lee Raker,Virginia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1981
78,SAC,Kenny Dennard,Duke,3.0,95.0,1244.0,268.0,286.0,93.0,0.429,0.3,0.644,13.1,2.8,3.0,1.0,1.4,0.055999999999999994,-1.5,0.2,1981
79,WAS,Ron Davis,Arizona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1981
80,GSW,Terry Adolph,West Texas A&M University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1981
81,HOU,Larry Spriggs,Howard University,5.0,169.0,2202.0,873.0,384.0,218.0,0.517,0.0,0.752,13.0,5.2,2.3,1.3,3.4,0.07400000000000001,-2.5,-0.2,1981
82,SAC,B. B. Davis,Lamar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1981
83,IND,Rolando Frazier,Briar Cliff University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1981
84,CHI,Oliver Lee,Marquette,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1981
85,POR,Pete Verhoeven,Fresno State,6.0,282.0,3220.0,1000.0,641.0,152.0,0.505,0.25,0.6890000000000001,11.4,3.5,2.3,0.5,5.2,0.078,-2.7,-0.5,1981
86,NYK,Alex Bradley,Villanova,1.0,39.0,331.0,137.0,65.0,11.0,0.524,0.0,0.604,8.5,3.5,1.7,0.3,0.4,0.053,-2.6,0.0,1981
87,SAS,Earl Belcher,St. Bonaventure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1981
88,LAL,Kevin McKenna,Creighton,6.0,243.0,3460.0,1320.0,317.0,342.0,0.414,0.36700000000000005,0.8190000000000001,14.2,5.4,1.3,1.4,4.0,0.055999999999999994,-2.2,-0.2,1981
89,DET,Don Koonce,UNC Charlotte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1981
90,MIL,Kris Anderson,Florida State,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1981
91,BOS,Stanley Williams,La Salle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1981
92,PHI,Rynn Wright,Texas A&M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1981
93,DAL,Pete Budko,UNC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1981
94,DET,George DeVone,UNC Charlotte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1981
95,BKN,Joe Cooper,Colorado,3.0,24.0,389.0,109.0,97.0,19.0,0.506,0.0,0.5429999999999999,16.2,4.5,4.0,0.8,0.3,0.037000000000000005,-2.8,-0.2,1981
96,CLE,Ken Page,New Mexico,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1981
97,UTA,Mike Clark,Oregon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1981
